"harmonic","aspect_degree","dms","name","prime","prime_factorization","natal_definition","transit_definition","harmony_definition","source"
"189","1.904762","1° 54' 17""","—","No","3^3 × 7","Blend of prime factors: H3³ (ease/flow) + H7 (fate/inspiration). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 3^3 × 7 quality blend activates at tight orb (<0.08°). Active only at near-exact contact.","3^3 × 7 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"190","1.894737","1° 53' 41""","—","No","2 × 5 × 19","Blend of prime factors: H2 (pressure/polarity) + H5 (creative form) + H19 (abstract cerebral). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2 × 5 × 19 quality blend activates at tight orb (<0.08°). Active only at near-exact contact.","2 × 5 × 19 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"191","1.884817","1° 53' 05""","—","Yes","191","Prime H191: irreducible qualitative resonance; standalone instinctual pattern. Following Cochrane's prime trajectory (17→19→23→29→31→…), this harmonic operates as a subliminal perceptual re-configuration active at extremely tight orbs (<0.3°). Empirical definition unavailable; treat as supplementary nuance.","Rare prime timing; singular subliminal trigger. Active only at exact arc-minute contact.","Irreducible prime — unique vibrational frequency without composite decomposition. Depth: instinctual (Freedman gradient).","Derived (prime extrapolation)"
"192","1.875","1° 52' 30""","—","No","2^6 × 3","Blend of prime factors: H2^6 (pressure/polarity) + H3 (ease/flow). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2^6 × 3 quality blend activates at tight orb (<0.08°). Active only at near-exact contact.","2^6 × 3 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"193","1.865285","1° 51' 55""","—","Yes","193","Prime H193: irreducible qualitative resonance; standalone instinctual pattern. Following Cochrane's prime trajectory (17→19→23→29→31→…), this harmonic operates as a subliminal perceptual re-configuration active at extremely tight orbs (<0.3°). Empirical definition unavailable; treat as supplementary nuance.","Rare prime timing; singular subliminal trigger. Active only at exact arc-minute contact.","Irreducible prime — unique vibrational frequency without composite decomposition. Depth: instinctual (Freedman gradient).","Derived (prime extrapolation)"
"194","1.85567","1° 51' 20""","—","No","2 × 97","Blend of prime factors: H2 (pressure/polarity) + H97 (unique prime). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2 × 97 quality blend activates at tight orb (<0.08°). Active only at near-exact contact.","2 × 97 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"195","1.846154","1° 50' 46""","—","No","3 × 5 × 13","Blend of prime factors: H3 (ease/flow) + H5 (creative form) + H13 (transformation/lordship). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 3 × 5 × 13 quality blend activates at tight orb (<0.08°). Active only at near-exact contact.","3 × 5 × 13 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"196","1.836735","1° 50' 12""","—","No","2^2 × 7^2","Blend of prime factors: H2² (pressure/polarity) + H7² (fate/inspiration). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2^2 × 7^2 quality blend activates at tight orb (<0.08°). Active only at near-exact contact.","2^2 × 7^2 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"197","1.827411","1° 49' 39""","—","Yes","197","Prime H197: irreducible qualitative resonance; standalone instinctual pattern. Following Cochrane's prime trajectory (17→19→23→29→31→…), this harmonic operates as a subliminal perceptual re-configuration active at extremely tight orbs (<0.3°). Empirical definition unavailable; treat as supplementary nuance.","Rare prime timing; singular subliminal trigger. Active only at exact arc-minute contact.","Irreducible prime — unique vibrational frequency without composite decomposition. Depth: instinctual (Freedman gradient).","Derived (prime extrapolation)"
"198","1.818182","1° 49' 05""","—","No","2 × 3^2 × 11","Blend of prime factors: H2 (pressure/polarity) + H3² (ease/flow) + H11 (Uranian excess). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2 × 3^2 × 11 quality blend activates at tight orb (<0.08°). Active only at near-exact contact.","2 × 3^2 × 11 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"199","1.809045","1° 48' 33""","—","Yes","199","Prime H199: irreducible qualitative resonance; standalone instinctual pattern. Following Cochrane's prime trajectory (17→19→23→29→31→…), this harmonic operates as a subliminal perceptual re-configuration active at extremely tight orbs (<0.3°). Empirical definition unavailable; treat as supplementary nuance.","Rare prime timing; singular subliminal trigger. Active only at exact arc-minute contact.","Irreducible prime — unique vibrational frequency without composite decomposition. Depth: instinctual (Freedman gradient).","Derived (prime extrapolation)"
"200","1.8","1° 48' 00""","—","No","2^3 × 5^2","Blend of prime factors: H2³ (pressure/polarity) + H5² (creative form). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2^3 × 5^2 quality blend activates at tight orb (<0.08°). Active only at near-exact contact.","2^3 × 5^2 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"201","1.791045","1° 47' 28""","—","No","3 × 67","Blend of prime factors: H3 (ease/flow) + H67 (unique prime). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 3 × 67 quality blend activates at tight orb (<0.08°). Active only at near-exact contact.","3 × 67 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"202","1.782178","1° 46' 56""","—","No","2 × 101","Blend of prime factors: H2 (pressure/polarity) + H101 (unique prime). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2 × 101 quality blend activates at tight orb (<0.08°). Active only at near-exact contact.","2 × 101 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"203","1.773399","1° 46' 24""","—","No","7 × 29","Blend of prime factors: H7 (fate/inspiration) + H29 (paradigm options). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 7 × 29 quality blend activates at tight orb (<0.08°). Active only at near-exact contact.","7 × 29 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"204","1.764706","1° 45' 53""","—","No","2^2 × 3 × 17","Blend of prime factors: H2² (pressure/polarity) + H3 (ease/flow) + H17 (narrative reconfiguration). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2^2 × 3 × 17 quality blend activates at tight orb (<0.08°). Active only at near-exact contact.","2^2 × 3 × 17 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"205","1.756098","1° 45' 22""","—","No","5 × 41","Blend of prime factors: H5 (creative form) + H41 (unique prime). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 5 × 41 quality blend activates at tight orb (<0.08°). Active only at near-exact contact.","5 × 41 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"206","1.747573","1° 44' 51""","—","No","2 × 103","Blend of prime factors: H2 (pressure/polarity) + H103 (unique prime). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2 × 103 quality blend activates at tight orb (<0.08°). Active only at near-exact contact.","2 × 103 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"207","1.73913","1° 44' 21""","—","No","3^2 × 23","Blend of prime factors: H3² (ease/flow) + H23 (novel configurations). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 3^2 × 23 quality blend activates at tight orb (<0.08°). Active only at near-exact contact.","3^2 × 23 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"208","1.730769","1° 43' 51""","—","No","2^4 × 13","Blend of prime factors: H2^4 (pressure/polarity) + H13 (transformation/lordship). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2^4 × 13 quality blend activates at tight orb (<0.08°). Active only at near-exact contact.","2^4 × 13 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"209","1.722488","1° 43' 21""","—","No","11 × 19","Blend of prime factors: H11 (Uranian excess) + H19 (abstract cerebral). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 11 × 19 quality blend activates at tight orb (<0.08°). Active only at near-exact contact.","11 × 19 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"210","1.714286","1° 42' 51""","—","No","2 × 3 × 5 × 7","Blend of prime factors: H2 (pressure/polarity) + H3 (ease/flow) + H5 (creative form) + H7 (fate/inspiration). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2 × 3 × 5 × 7 quality blend activates at tight orb (<0.08°). Active only at near-exact contact.","2 × 3 × 5 × 7 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"211","1.706161","1° 42' 22""","—","Yes","211","Prime H211: irreducible qualitative resonance; standalone instinctual pattern. Following Cochrane's prime trajectory (17→19→23→29→31→…), this harmonic operates as a subliminal perceptual re-configuration active at extremely tight orbs (<0.3°). Empirical definition unavailable; treat as supplementary nuance.","Rare prime timing; singular subliminal trigger. Active only at exact arc-minute contact.","Irreducible prime — unique vibrational frequency without composite decomposition. Depth: instinctual (Freedman gradient).","Derived (prime extrapolation)"
"212","1.698113","1° 41' 53""","—","No","2^2 × 53","Blend of prime factors: H2² (pressure/polarity) + H53 (unique prime). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2^2 × 53 quality blend activates at tight orb (<0.08°). Active only at near-exact contact.","2^2 × 53 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"213","1.690141","1° 41' 25""","—","No","3 × 71","Blend of prime factors: H3 (ease/flow) + H71 (unique prime). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 3 × 71 quality blend activates at tight orb (<0.08°). Active only at near-exact contact.","3 × 71 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"214","1.682243","1° 40' 56""","—","No","2 × 107","Blend of prime factors: H2 (pressure/polarity) + H107 (unique prime). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2 × 107 quality blend activates at tight orb (<0.07°). Active only at near-exact contact.","2 × 107 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"215","1.674419","1° 40' 28""","—","No","5 × 43","Blend of prime factors: H5 (creative form) + H43 (unique prime). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 5 × 43 quality blend activates at tight orb (<0.07°). Active only at near-exact contact.","5 × 43 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"216","1.666667","1° 40' 00""","—","No","2^3 × 3^3","Blend of prime factors: H2³ (pressure/polarity) + H3³ (ease/flow). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2^3 × 3^3 quality blend activates at tight orb (<0.07°). Active only at near-exact contact.","2^3 × 3^3 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"217","1.658986","1° 39' 32""","—","No","7 × 31","Blend of prime factors: H7 (fate/inspiration) + H31 (limits of systems). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 7 × 31 quality blend activates at tight orb (<0.07°). Active only at near-exact contact.","7 × 31 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"218","1.651376","1° 39' 05""","—","No","2 × 109","Blend of prime factors: H2 (pressure/polarity) + H109 (unique prime). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2 × 109 quality blend activates at tight orb (<0.07°). Active only at near-exact contact.","2 × 109 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"219","1.643836","1° 38' 38""","—","No","3 × 73","Blend of prime factors: H3 (ease/flow) + H73 (unique prime). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 3 × 73 quality blend activates at tight orb (<0.07°). Active only at near-exact contact.","3 × 73 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"220","1.636364","1° 38' 11""","—","No","2^2 × 5 × 11","Blend of prime factors: H2² (pressure/polarity) + H5 (creative form) + H11 (Uranian excess). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2^2 × 5 × 11 quality blend activates at tight orb (<0.07°). Active only at near-exact contact.","2^2 × 5 × 11 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"221","1.628959","1° 37' 44""","—","No","13 × 17","Blend of prime factors: H13 (transformation/lordship) + H17 (narrative reconfiguration). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 13 × 17 quality blend activates at tight orb (<0.07°). Active only at near-exact contact.","13 × 17 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"222","1.621622","1° 37' 18""","—","No","2 × 3 × 37","Blend of prime factors: H2 (pressure/polarity) + H3 (ease/flow) + H37 (unique prime). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2 × 3 × 37 quality blend activates at tight orb (<0.07°). Active only at near-exact contact.","2 × 3 × 37 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"223","1.61435","1° 36' 52""","—","Yes","223","Prime H223: irreducible qualitative resonance; standalone instinctual pattern. Following Cochrane's prime trajectory (17→19→23→29→31→…), this harmonic operates as a subliminal perceptual re-configuration active at extremely tight orbs (<0.3°). Empirical definition unavailable; treat as supplementary nuance.","Rare prime timing; singular subliminal trigger. Active only at exact arc-minute contact.","Irreducible prime — unique vibrational frequency without composite decomposition. Depth: instinctual (Freedman gradient).","Derived (prime extrapolation)"
"224","1.607143","1° 36' 26""","—","No","2^5 × 7","Blend of prime factors: H2^5 (pressure/polarity) + H7 (fate/inspiration). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2^5 × 7 quality blend activates at tight orb (<0.07°). Active only at near-exact contact.","2^5 × 7 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"225","1.6","1° 36' 00""","—","No","3^2 × 5^2","Blend of prime factors: H3² (ease/flow) + H5² (creative form). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 3^2 × 5^2 quality blend activates at tight orb (<0.07°). Active only at near-exact contact.","3^2 × 5^2 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"226","1.59292","1° 35' 35""","—","No","2 × 113","Blend of prime factors: H2 (pressure/polarity) + H113 (unique prime). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2 × 113 quality blend activates at tight orb (<0.07°). Active only at near-exact contact.","2 × 113 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"227","1.585903","1° 35' 09""","—","Yes","227","Prime H227: irreducible qualitative resonance; standalone instinctual pattern. Following Cochrane's prime trajectory (17→19→23→29→31→…), this harmonic operates as a subliminal perceptual re-configuration active at extremely tight orbs (<0.3°). Empirical definition unavailable; treat as supplementary nuance.","Rare prime timing; singular subliminal trigger. Active only at exact arc-minute contact.","Irreducible prime — unique vibrational frequency without composite decomposition. Depth: instinctual (Freedman gradient).","Derived (prime extrapolation)"
"228","1.578947","1° 34' 44""","—","No","2^2 × 3 × 19","Blend of prime factors: H2² (pressure/polarity) + H3 (ease/flow) + H19 (abstract cerebral). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2^2 × 3 × 19 quality blend activates at tight orb (<0.07°). Active only at near-exact contact.","2^2 × 3 × 19 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"229","1.572052","1° 34' 19""","—","Yes","229","Prime H229: irreducible qualitative resonance; standalone instinctual pattern. Following Cochrane's prime trajectory (17→19→23→29→31→…), this harmonic operates as a subliminal perceptual re-configuration active at extremely tight orbs (<0.3°). Empirical definition unavailable; treat as supplementary nuance.","Rare prime timing; singular subliminal trigger. Active only at exact arc-minute contact.","Irreducible prime — unique vibrational frequency without composite decomposition. Depth: instinctual (Freedman gradient).","Derived (prime extrapolation)"
"230","1.565217","1° 33' 55""","—","No","2 × 5 × 23","Blend of prime factors: H2 (pressure/polarity) + H5 (creative form) + H23 (novel configurations). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2 × 5 × 23 quality blend activates at tight orb (<0.07°). Active only at near-exact contact.","2 × 5 × 23 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"231","1.558442","1° 33' 30""","—","No","3 × 7 × 11","Blend of prime factors: H3 (ease/flow) + H7 (fate/inspiration) + H11 (Uranian excess). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 3 × 7 × 11 quality blend activates at tight orb (<0.07°). Active only at near-exact contact.","3 × 7 × 11 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"232","1.551724","1° 33' 06""","—","No","2^3 × 29","Blend of prime factors: H2³ (pressure/polarity) + H29 (paradigm options). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2^3 × 29 quality blend activates at tight orb (<0.07°). Active only at near-exact contact.","2^3 × 29 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"233","1.545064","1° 32' 42""","—","Yes","233","Prime H233: irreducible qualitative resonance; standalone instinctual pattern. Following Cochrane's prime trajectory (17→19→23→29→31→…), this harmonic operates as a subliminal perceptual re-configuration active at extremely tight orbs (<0.3°). Empirical definition unavailable; treat as supplementary nuance.","Rare prime timing; singular subliminal trigger. Active only at exact arc-minute contact.","Irreducible prime — unique vibrational frequency without composite decomposition. Depth: instinctual (Freedman gradient).","Derived (prime extrapolation)"
"234","1.538462","1° 32' 18""","—","No","2 × 3^2 × 13","Blend of prime factors: H2 (pressure/polarity) + H3² (ease/flow) + H13 (transformation/lordship). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2 × 3^2 × 13 quality blend activates at tight orb (<0.07°). Active only at near-exact contact.","2 × 3^2 × 13 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"235","1.531915","1° 31' 55""","—","No","5 × 47","Blend of prime factors: H5 (creative form) + H47 (unique prime). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 5 × 47 quality blend activates at tight orb (<0.07°). Active only at near-exact contact.","5 × 47 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"236","1.525424","1° 31' 32""","—","No","2^2 × 59","Blend of prime factors: H2² (pressure/polarity) + H59 (unique prime). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2^2 × 59 quality blend activates at tight orb (<0.07°). Active only at near-exact contact.","2^2 × 59 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"237","1.518987","1° 31' 08""","—","No","3 × 79","Blend of prime factors: H3 (ease/flow) + H79 (unique prime). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 3 × 79 quality blend activates at tight orb (<0.07°). Active only at near-exact contact.","3 × 79 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"238","1.512605","1° 30' 45""","—","No","2 × 7 × 17","Blend of prime factors: H2 (pressure/polarity) + H7 (fate/inspiration) + H17 (narrative reconfiguration). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2 × 7 × 17 quality blend activates at tight orb (<0.07°). Active only at near-exact contact.","2 × 7 × 17 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"239","1.506276","1° 30' 23""","—","Yes","239","Prime H239: irreducible qualitative resonance; standalone instinctual pattern. Following Cochrane's prime trajectory (17→19→23→29→31→…), this harmonic operates as a subliminal perceptual re-configuration active at extremely tight orbs (<0.3°). Empirical definition unavailable; treat as supplementary nuance.","Rare prime timing; singular subliminal trigger. Active only at exact arc-minute contact.","Irreducible prime — unique vibrational frequency without composite decomposition. Depth: instinctual (Freedman gradient).","Derived (prime extrapolation)"
"240","1.5","1° 30' 00""","—","No","2^4 × 3 × 5","Blend of prime factors: H2^4 (pressure/polarity) + H3 (ease/flow) + H5 (creative form). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2^4 × 3 × 5 quality blend activates at tight orb (<0.07°). Active only at near-exact contact.","2^4 × 3 × 5 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"241","1.493776","1° 29' 38""","—","Yes","241","Prime H241: irreducible qualitative resonance; standalone instinctual pattern. Following Cochrane's prime trajectory (17→19→23→29→31→…), this harmonic operates as a subliminal perceptual re-configuration active at extremely tight orbs (<0.3°). Empirical definition unavailable; treat as supplementary nuance.","Rare prime timing; singular subliminal trigger. Active only at exact arc-minute contact.","Irreducible prime — unique vibrational frequency without composite decomposition. Depth: instinctual (Freedman gradient).","Derived (prime extrapolation)"
"242","1.487603","1° 29' 15""","—","No","2 × 11^2","Blend of prime factors: H2 (pressure/polarity) + H11² (Uranian excess). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2 × 11^2 quality blend activates at tight orb (<0.07°). Active only at near-exact contact.","2 × 11^2 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"243","1.481481","1° 28' 53""","—","No","3^5","3⁵: trine to the 5th power — the deepest possible ease; absolute spiritual pacifism and joy.","Profound spiritual ease; everything flows without friction.","3⁵ — maximum threeness; the infinite trine.","Derived (factor blend)"
"244","1.47541","1° 28' 31""","—","No","2^2 × 61","Blend of prime factors: H2² (pressure/polarity) + H61 (unique prime). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2^2 × 61 quality blend activates at tight orb (<0.07°). Active only at near-exact contact.","2^2 × 61 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"245","1.469388","1° 28' 10""","—","No","5 × 7^2","Blend of prime factors: H5 (creative form) + H7² (fate/inspiration). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 5 × 7^2 quality blend activates at tight orb (<0.07°). Active only at near-exact contact.","5 × 7^2 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"246","1.463415","1° 27' 48""","—","No","2 × 3 × 41","Blend of prime factors: H2 (pressure/polarity) + H3 (ease/flow) + H41 (unique prime). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2 × 3 × 41 quality blend activates at tight orb (<0.07°). Active only at near-exact contact.","2 × 3 × 41 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"247","1.45749","1° 27' 27""","—","No","13 × 19","Blend of prime factors: H13 (transformation/lordship) + H19 (abstract cerebral). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 13 × 19 quality blend activates at tight orb (<0.06°). Active only at near-exact contact.","13 × 19 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
